country,date,description,hazard,importer,incidents,link,name,remedy,retailer,units
Turkey,"December 13, 2018","This recall involves The Company Store children’s 100% cotton terry robes. They were sold in sizes XS, S, M, L and XL in the following colors: blue, green, gray, orange, pink, purple, red and white. The long-sleeved, hooded robes have two front pockets and two side seam belt loops with a matching belt. “The Company Store,” “RN#120962” and a tracking number beginning with either “CS3981DR,” “CS0981DR” or “28738” are printed on a sewn-in neck label.","The children’s robes fail to meet the federal flammability standard for children’s sleepwear, posing a risk of burn injuries to children.","Home Depot U.S.A., dba The Company Store, of Atlanta, Ga. and Hanover Company Store LLC, of Weehawken, N.J.",None reported,https://cpsc.gov/Recalls/2019/The-Company-Store-Recalls-Childrens-Robes-Due-to-Violation-of-Federal-Flammability-Standards-Recall-Alert,Children’s robes,Refund,,"About 13,000 "
India,"December 13, 2018",This recall involves 100% silk Raj Imports scarves. The scarves are purple with an allover butterfly and bow pattern. The scarves measure about 71 inches long by 20 inches wide. “Raj RN NO 115832 Made in India 100% Silk ONE SIZE” is printed on a brown side seam label.,"The women’s scarves fail to meet the federal flammability standard for clothing textiles, posing a risk of burn injuries to consumers.","Raj Trading & Imports (USA), Inc., dba as Raj Imports, of Calif.",None Reported,https://cpsc.gov/Recalls/2019/Womens-Scarves-Recalled-by-Raj-Imports-Due-to-Violation-of-Federal-Flammability-Standard,Women’s Scarves,Refund,Online at www.rajimports.net and www.zulily.com from February 2008 through August 2018 for about $15.,About 300 
China,"December 12, 2018",This recall involves Emerson branded SensiWiFi thermostats with “Emerson” printed on the front and a date code from 1416 to 1536 on the back. The date code represents the manufacture date from the 16,"Contact between the thermostat wires and household line voltage can damage the thermostat, posing a fire hazard.","White-Rodgers, of St. Louis, Mo., a division of Emerson Electric Co.","The firm has received eight reports of burn damage to the thermostat, involving minor property damage. No injuries have been reported.",https://cpsc.gov/Recalls/2019/White-Rodgers-Recalls-Thermostats-Due-to-Fire-Hazard,Emerson Branded Sensi WiFi thermostats,Replace,"Johnstone, Home Depot and Golden State FC stores and Heating ventilation and air conditioning (HVAC) equipment distributors nationwide from April 2014 through December 2016 for between about $90 and $150.","About 135,000 (in addition, about 15,000 were sold in Canada) "
China,"December 18, 2018","This recall involves  girls’ infant snowsuits sold in infant sizes 0 to 18 months. The recalled snowsuits were sold in two styles and three colors/patterns. The style number is printed on a label sewn in to the side seam. The snowsuits are 100% polyester and the trim is 95% polyester and 5% spandex. They have matching print hoods with small ears, detachable mittens and a zipper down the front of the suit covered with a fabric snap flap at the chest.","The metal snaps on the snowsuit can detach, posing a choking hazard to young children.","The Children’s Place Services Company LLC, of Secaucus, N.J.",The firm has received one report of a metal snap detaching from a snowsuit. No injuries have been reported.,https://cpsc.gov/Recalls/2019/The-Childrens-Place-Recalls-Infant-Snowsuits-Due-to-Choking-Hazard,Infant snowsuits,Refund,,"About 14,900 (in addition, about 750 were sold in Canada)"
China,"November 27, 2018",This recall involves a 5-gallon yellow plastic mixing bucket with LL Pro+ and Lumber Liquidators printed on the outside of the buckets. The buckets have the SKU #10043866 printed on the product label.,Young children can fall into buckets and drown. The buckets do not have the required cautionary label warning of the drowning risk posed to young children.,"Lumber Liquidators Services LLC, of Toano, Va.",None reported,https://cpsc.gov/Recalls/2019/Lumber-Liquidators-Recalls-5-Gallon-Buckets-Due-to-Drowning-Hazard-Recall-Alert,5-Gallon mixing buckets,Repair,Lumber Liquidators stores nationwide and online at www.lumberliquidators.com from June 2018 through August 2018 for about $3.,"About 22,700 "
China,"December 4, 2018","This recall involves the pivot hinges on all Cove and Suave models of shower doors and panels. The recalled pivot hinges were delivered with shower doors and panels which are made of glass and have a silver, brushed nickel or oil rubbed bronze metal frame and door handle. ","The pivot hinges can fail and cause the glass door panel to separate from its frame, posing impact and injury hazards.","Foremost Groups Inc., of East Hanover, N.J.","Foremost has received 86 reports of incidents, including 73 reports of the pivot hinges failing and the glass doors separating from their frame and falling and 13 reports of the glass doors separating from their frame and shattering. No injuries have been reported.",https://cpsc.gov/Recalls/2019/Foremost-Recalls-Shower-Doors-and-Panels-Due-to-Injury-and-Impact-Hazards-Recall-Alert,Glass shower doors and panels ,Replace,"Home Depot, Hoods Discount Home Center, Menards and other stores nationwide and online at Build.com, Houzz.com, Wayfair.com and other websites from January 2018 through July 2018 for between $800 and $1,100.",About 700
U.S.,"December 6, 2018","This recall involves 2018 and 2019 Mule Pro utility vehicles.  The four-wheel, off-highway utility vehicles were sold in black, green, white, red, bronze, silver, camo and blue. They have side by side seating for three to six people and automotive style controls. Mule Pro is printed on the right and left front fender. Kawasaki is printed on the cargo box. The Vehicle Identification Number (VIN) is located on the steel frame between the right front lower A-arm mounts. ","The vehicle’s rollover protection structure (ROPS) can fail to protect consumers, posing an injury hazard.","Kawasaki Motors Corp., U.S.A. of Foothill Ranch, Calif.",None reported,https://cpsc.gov/Recalls/2019/Kawasaki-USA-Recalls-Off-Highway-Utility-Vehicles-Due-to-Injury-Hazard-Recall-Alert,Kawasaki Mule™ Pro off-highway utility vehicles,Repair,"Kawasaki dealers nationwide from August 2018 through September 2018 for between $13,000 and $17,000.","About 1,000"
China,"December 6, 2018","This recall involves Falls Creek Kids branded children’s zip up hoodies sold in five color styles in sizes 12M,18M, 24M, 2T,3T 4T and 5T. “Falls Creek Kids” and “Made in China” are printed on the inner collar. The tracking number is printed on a sewn-in label on the inner side seam.","The zipper slider can detach from the hoodie, posing a choking hazard to young children.","Meijer Distribution Inc., of Grand Rapids, Mich.",Meijer has received one report of the zipper slider body and pull detaching from a hoodie. No injuries have been reported.,https://cpsc.gov/Recalls/2019/Meijer-Recalls-Childrens-Hooded-Jackets-Due-to-Choking-Hazard,Falls Creek Kids infant and toddler hoodies,Refund,,"About 25,000"
China,"December 6, 2018","This recall involves Skip Hop’s Tuo convertible high chairs with charcoal gray or silver/white with clouds fabric. They have a reversible seat pad, removable tray, 5-point harness, beechwood footrest and legs. The high chairs can be converted into a toddler chair. One of the following style numbers and corresponding date code can be found on the back of the chair:","The legs on the highchair can detach from the seat, posing fall and injury hazards to children.","Skip Hop, Inc., of New York",Skip Hop has received 17 reports of the legs of the high chairs detaching. No injuries have been reported. ,https://cpsc.gov/Recalls/2019/Skip-Hop-Recalls-Convertible-High-Chairs-Due-to-Injury-and-Fall-Hazards,Tuo convertible high chairs ,Refund,"Babies ”R” Us, Buy Buy Baby, Target, Kohls, Dillards and other children specialty stores nationwide and online at Amazon.com and Skiphop.com from June 2017 through December 2018 for about $160.","About 32,300 (In addition, about 8,600 were sold in Canada) "
China,"December 4, 2018","This recall involves wall-mounted, folding shower seats made of teak wood slats joined together by support rods that extend from two wall mounting brackets.  The recalled shower seats have brushed nickel, chrome or oil-rubbed bronze finishes on the support rods and bracket covers. The shower seats measure 16 inches wide by 13.5 inches deep, with a width of 11.75 inches between the centers of the wall mounting brackets. SKU number 917726 is printed on purchase receipts and email order confirmations.","The aluminum hardware supporting the shower seat can corrode, posing fall and laceration hazards.","Clawfoot Supply LLC, d/b/a Signature Hardware, of Erlanger, Ky.","Signature Hardware has received 194 reports of the shower seats breaking, including 37 reports of falls without injuries and 23 reports of injuries. Injuries include scrapes and bruises, three reports of lacerations for which consumers received stitches and one report of lumbar fractures.",https://cpsc.gov/Recalls/2019/Signature-Hardware-Recalls-Wall-Mounted-Shower-Seats-Due-to-Fall-and-Laceration-Hazards,Wall-mounted shower seats,Refund,"Signature Hardware by telephone and online at signaturehardware.com between January 2011 and July 2018 and by Barclay Products Ltd. through its showroom in Gurnee, Illinois between October 2013 and June 2017 for between $150 and $160.","About 7,200 (in addition, about 80 were sold in Canada) "
China,"December 11, 2018","This recall involves Penn State Industries CSCBARR5 quick change jaw chuck systems used with woodworking lathes. The recalled jaw chuck systems are made of steel, are silver in color and measure about 3.875 inches in diameter. “PSI Woodworking Products” and product number “CSCBARR5” are printed on the side of the chuck.","The jaws can loosen from the chuck and break off, posing a laceration hazard.","Penn State Industries, of Philadelphia, Pa.",Penn State Industries has received seven reports of the jaw loosening or ejecting from the chuck. No injuries have been reported.,https://cpsc.gov/Recalls/2019/Penn-State-Industries-Recalls-Woodworking-Jaw-Chuck-Systems-Due-to-Laceration-Hazard,Quick change jaw chuck systems,Refund,"Blackwater River Tools, Klingspor Woodworking, L&R Collectables, Long Island Woodworking Supply, Penn State Industries, Sumner Woodworking Store, The Woodwork Shop, Woodturningz , Woodworkers Emporium and other stores nationwide and online at Amazon.com and other websites from March 2017 through August 2018 for between $180 and $250.","About 1,000  "
